One byte keycodes:

kcapODier         fcba
koAcute           fcbb
koGrave           fcbc
koCaret           fcbd
koDier            fcbe
kcapUAcute        fcbf
kcapUGrave        fcc0
kcapUCaret        fcc1
kcapUDier         fcc2
kuAcute           fcc3
kuGrave           fcc4
kuCaret           fcc5
kuDier            fcc6
kcapCCed          fcc7
kcCed             fcc8
kcapNTilde        fcc9
knTilde           fcca
kaccent           fccb
kgrave            fccc
kdieresis         fccd
kquesDown         fcce
kexclamDown       fccf
kalpha            fcd0
kbeta             fcd1
kgamma            fcd2
kcapDelta         fcd3
kdelta            fcd4
kepsilon          fcd5
klambda           fcd6
kmu               fcd7
kpi2              fcd8
krho              fcd9
kcapSigma         fcda
ksigma            fcdb
ktau              fcdc
kphi              fcdd
kcapOmega         fcde
kphat             fcdf
kchi2             fce0
kstatF2           fce1
kLa               fce2
kLb               fce3
kLc               fce4
kLd               fce5
kLe               fce6
kLf               fce7
kLg               fce8
kLh               fce9
kLi               fcea
kLj               fceb
kLk               fcec
kLl               fced
kLm               fcee
kLsmalln          fcef
kLo               fcf0
kLp               fcf1
kLq               fcf2
kLsmallr          fcf3
kLs               fcf4
kLt               fcf5
kLu               fcf6
kLv               fcf7
kLw               fcf8
kLx               fcf9
kLy               fcfa
kLz               fcfb
kGarbageC         fcfc

FD (ExtendEcho3) prefixed keys (only on TI83+ OS >= 1.15):

kAtSign           fd02
kPound            fd03
kDollar           fd04
kAmpersand        fd05
kBackQuote        fd06
kSemicolon        fd07
kBackSlash        fd08
kVertSlash        fd09
kUnderscore       fd0a
kTilde            fd0b
kPercent          fd0c
kTab              fd0d
kShftTaB          fd0e
kShftDel          fd0f
kShftBack         fd10
kShftPgUp         fd11
kShftPgDn         fd12
kShftLeft         fd13
kShftRight        fd14
kShftUp           fd15
kShftDn           fd16
kDiaAdd           fd17
kDiaSub           fd18
kDiaTilde         fd19
kDiaDiv           fd1a
kDiaBkSlash       fd1b
kDiaColon         fd1c
kDiaQuote         fd1d
kDiaLBrack        fd1e
kDiaRBrack        fd1f
kDiaBkSpace       fd20
kDiaEnter         fd21
kDiaComma         fd22
kDiaDel           fd23
kDiaDecPnt        fd24
kDia0             fd25
kDia1             fd26
kDia2             fd27
kDia3             fd28
kDia4             fd29
kDia5             fd2a
kDia6             fd2b
kDia7             fd2c
kDia8             fd2d
kDia9             fd2e
kDiaTab           fd2f
kDiaSpace         fd30
kDiaA             fd31
kDiaB             fd32
kDiaC             fd33
kDiaD             fd34
kDiaE             fd35
kDiaF             fd36
kDiaG             fd37
kDiaH             fd38
kDiaI             fd39
kDiaJ             fd3a
kDiaK             fd3b
kDiaL             fd3c
kDiaM             fd3d
kDiaN             fd3e
kDiaO             fd3f
kDiaP             fd40
kDiaQ             fd41
kDiaR             fd42
kDiaS             fd43
kDiaT             fd44
kDiaU             fd45
kDiaV             fd46
kDiaW             fd47
kDiaX             fd48
kDiaY             fd49
kDiaZ             fd4a
kDiaPgUp          fd4b
kDiaPgDn          fd4c
kDiaLeft          fd4d
kDiaRight         fd4e
kDiaUp            fd4f
kDiaDn            fd50
kSqrAdd           fd51
kSqrSub           fd52
kSqrTilde         fd53
kSqrDiv           fd54
kSqrBkSlash       fd55
kSqrColon         fd56
kSqrQuote         fd57
kSqrLBrack        fd58
kSqrRBrack        fd59
kSqrBkSpace       fd5a
kSqrEnter         fd5b
kSqrComma         fd5c
kSqrDel           fd5d
kSqrDecPnt        fd5e
kSqr0             fd5f
kSqr1             fd60
kSqr2             fd61
kSqr3             fd62
kSqr4             fd63
kSqr5             fd64
kSqr6             fd65
kSqr7             fd66
kSqr8             fd67
kSqr9             fd68
kSqrTab           fd69
kSqrSpace         fd6a
kSqrA             fd6b
kSqrB             fd6c
kSqrC             fd6d
kSqrD             fd6e
kSqrE             fd6f
kSqrF             fd70
kSqrG             fd71
kSqrH             fd72
kSqrI             fd73
kSqrJ             fd74
kSqrK             fd75
kSqrL             fd76
kSqrM             fd77
kSqrN             fd78
kSqrO             fd79
kSqrP             fd7a
